RefSeq ID	OGS ID	Chromosome	Chromosome RefSeq ID	Start	End
LOC116771390	DPOGS209481	17	NC_083548.1	6235586	6345186
LOC116771115	DPOGS209523	17	NC_083548.1	6347954	6361651
LOC116771144	DPOGS209484	17	NC_083548.1	6362518	6365415
LOC116771143	DPOGS209485	17	NC_083548.1	6365804	6369142
LOC116771599	DPOGS209522	17	NC_083548.1	6371270	6391149
LOC116771283	DPOGS209521	17	NC_083548.1	6392884	6396782
LOC116771308	DPOGS209486	17	NC_083548.1	6397450	6400439
LOC116771309	DPOGS209520	17	NC_083548.1	6400060	6402713
LOC116771316	DPOGS209519	17	NC_083548.1	6405489	6410585
LOC116771317	DPOGS209487	17	NC_083548.1	6410983	6421830
LOC116771314	DPOGS209516	17	NC_083548.1	6421398	6424150
LOC116771333	DPOGS209489	17	NC_083548.1	6426471	6484075
LOC116768089	DPOGS202145	19	NC_083549.1	2773112	2808466
LOC116768035	DPOGS202134	19	NC_083549.1	2832664	2834824
LOC116768268	DPOGS202144	19	NC_083549.1	2844176	2846524
LOC133319386		19	NC_083549.1	2856272	2859267
LOC116767978	DPOGS202135	19	NC_083549.1	2864478	2866841
LOC116776896	DPOGS204621	29	NW_026869857.1	419294	422098
LOC116776894	DPOGS204615	29	NW_026869857.1	421711	423964
LOC116776864	DPOGS210385	29	NW_026869857.1	425005	432122
LOC116776867	DPOGS209864	29	NW_026869857.1	432316	437345
LOC133320458	DPOGS204622	29	NW_026869857.1	434466	435808
LOC116776866	DPOGS204623	29	NW_026869857.1	437999	443602
LOC116776761	DPOGS204613	29	NW_026869857.1	444283	503399
LOC116776949	DPOGS201616	29	NW_026869857.1	510196	518255
LOC116776961	DPOGS201615	29	NW_026869857.1	520781	522213
